,precision,recall,f1-score,support
harmful_behavior,0.8194662480376766,0.87,0.8439773645917542,600.0
jailbreak,0.9350877192982456,0.8883333333333333,0.9111111111111111,600.0
linguistic,0.8435940099833611,0.845,0.8442964196502915,600.0
prompt_injection,1.0,1.0,1.0,600.0
toxicity,0.9966216216216216,0.9833333333333333,0.9899328859060402,600.0
accuracy,0.9173333333333333,0.9173333333333333,0.9173333333333333,0.9173333333333333
macro avg,0.9189539197881811,0.9173333333333333,0.9178635562518395,3000.0
weighted avg,0.9189539197881811,0.9173333333333333,0.9178635562518394,3000.0
