,precision,recall,f1-score,support
harmful_behavior,0.8248407643312102,0.8633333333333333,0.8436482084690554,600.0
jailbreak,0.9369527145359019,0.8916666666666667,0.9137489325362937,600.0
linguistic,0.8325123152709359,0.845,0.8387096774193549,600.0
prompt_injection,1.0,1.0,1.0,600.0
toxicity,0.9949324324324325,0.9816666666666667,0.988255033557047,600.0
accuracy,0.9163333333333333,0.9163333333333333,0.9163333333333333,0.9163333333333333
macro avg,0.9178476453140961,0.9163333333333332,0.9168723703963503,3000.0
weighted avg,0.9178476453140961,0.9163333333333333,0.9168723703963501,3000.0
