,precision,recall,f1-score,support
harmful_behavior,0.8215434083601286,0.8516666666666667,0.8363338788870703,600.0
jailbreak,0.9115646258503401,0.8933333333333333,0.9023569023569024,600.0
linguistic,0.8341708542713567,0.83,0.8320802005012531,600.0
prompt_injection,1.0,1.0,1.0,600.0
toxicity,0.9966273187183811,0.985,0.9907795473595976,600.0
accuracy,0.912,0.912,0.912,0.912
macro avg,0.9127812414400414,0.9120000000000001,0.9123101058209647,3000.0
weighted avg,0.9127812414400412,0.912,0.9123101058209646,3000.0
