,precision,recall,f1-score,support
harmful_behavior,0.7936507936507936,0.8333333333333334,0.8130081300813008,600.0
jailbreak,0.9881188118811881,0.8316666666666667,0.9031674208144796,600.0
linguistic,0.8003072196620584,0.8683333333333333,0.832933653077538,600.0
prompt_injection,0.967741935483871,1.0,0.9836065573770492,600.0
toxicity,0.9781144781144782,0.9683333333333334,0.9731993299832495,600.0
accuracy,0.9003333333333333,0.9003333333333333,0.9003333333333333,0.9003333333333333
macro avg,0.9055866477584779,0.9003333333333334,0.9011830182667234,3000.0
weighted avg,0.9055866477584779,0.9003333333333333,0.9011830182667233,3000.0
