,precision,recall,f1-score,support
harmful_behavior,0.820097244732577,0.8433333333333334,0.8315529991783073,600.0
jailbreak,0.9055649241146712,0.895,0.9002514668901928,600.0
linguistic,0.8361204013377926,0.8333333333333334,0.8347245409015025,600.0
prompt_injection,1.0,1.0,1.0,600.0
toxicity,0.9966216216216216,0.9833333333333333,0.9899328859060402,600.0
accuracy,0.911,0.911,0.911,0.911
macro avg,0.9116808383613325,0.9109999999999999,0.9112923785752086,3000.0
weighted avg,0.9116808383613325,0.911,0.9112923785752085,3000.0
