,precision,recall,f1-score,support
harmful_behavior,0.8150470219435737,0.8666666666666667,0.840064620355412,600.0
jailbreak,0.9176672384219554,0.8916666666666667,0.904480135249366,600.0
linguistic,0.8398637137989778,0.8216666666666667,0.8306655433866892,600.0
prompt_injection,1.0,1.0,1.0,600.0
toxicity,0.9949324324324325,0.9816666666666667,0.988255033557047,600.0
accuracy,0.9123333333333333,0.9123333333333333,0.9123333333333333,0.9123333333333333
macro avg,0.9135020813193879,0.9123333333333333,0.9126930665097028,3000.0
weighted avg,0.9135020813193879,0.9123333333333333,0.9126930665097028,3000.0
