,precision,recall,f1-score,support
harmful_behavior,0.7749648382559775,0.9183333333333333,0.8405797101449275,600.0
jailbreak,0.9941176470588236,0.845,0.9135135135135135,600.0
linguistic,0.8422818791946308,0.8366666666666667,0.8394648829431438,600.0
prompt_injection,1.0,1.0,1.0,600.0
toxicity,1.0,0.9716666666666667,0.9856297548605241,600.0
accuracy,0.9143333333333333,0.9143333333333333,0.9143333333333333,0.9143333333333333
macro avg,0.9222728729018865,0.9143333333333332,0.9158375722924218,3000.0
weighted avg,0.9222728729018863,0.9143333333333333,0.9158375722924217,3000.0
