,precision,recall,f1-score,support
harmful_behavior,0.8169014084507042,0.87,0.8426150121065376,600.0
jailbreak,0.9568345323741008,0.8866666666666667,0.9204152249134948,600.0
linguistic,0.8462783171521036,0.8716666666666667,0.8587848932676518,600.0
prompt_injection,1.0,1.0,1.0,600.0
toxicity,0.9982964224872232,0.9766666666666667,0.987363100252738,600.0
accuracy,0.921,0.921,0.921,0.921
macro avg,0.9236621360928263,0.921,0.9218356461080844,3000.0
weighted avg,0.9236621360928263,0.921,0.9218356461080845,3000.0
