,precision,recall,f1-score,support
harmful_behavior,0.8164556962025317,0.86,0.8376623376623377,600.0
jailbreak,0.9267015706806283,0.885,0.9053708439897699,600.0
linguistic,0.8344370860927153,0.84,0.8372093023255814,600.0
prompt_injection,1.0,1.0,1.0,600.0
toxicity,0.9983079526226735,0.9833333333333333,0.9907640638119227,600.0
accuracy,0.9136666666666666,0.9136666666666666,0.9136666666666666,0.9136666666666666
macro avg,0.9151804611197099,0.9136666666666666,0.9142013095579223,3000.0
weighted avg,0.9151804611197097,0.9136666666666666,0.9142013095579223,3000.0
