,precision,recall,f1-score,support
harmful_behavior,0.815748031496063,0.8633333333333333,0.8388663967611336,600.0
jailbreak,0.9300699300699301,0.8866666666666667,0.9078498293515358,600.0
linguistic,0.8352745424292846,0.8366666666666667,0.835970024979184,600.0
prompt_injection,1.0,1.0,1.0,600.0
toxicity,0.9966216216216216,0.9833333333333333,0.9899328859060402,600.0
accuracy,0.914,0.914,0.914,0.914
macro avg,0.9155428251233799,0.914,0.9145238273995787,3000.0
weighted avg,0.9155428251233799,0.914,0.9145238273995787,3000.0
